iter,voter_id,rtt_ms,ok,err
0,bench-000000,0.0674,1,
1,bench-000001,0.0645,1,
2,bench-000002,0.0644,1,
3,bench-000003,0.0647,1,
4,bench-000004,0.0576,1,
5,bench-000005,0.0662,1,
6,bench-000006,0.0574,1,
7,bench-000007,0.0573,1,
8,bench-000008,0.0858,1,
9,bench-000009,0.065,1,
10,bench-000010,0.0575,1,
11,bench-000011,0.0574,1,
12,bench-000012,0.0617,1,
13,bench-000013,0.0569,1,
14,bench-000014,0.0571,1,
15,bench-000015,0.056,1,
16,bench-000016,0.0546,1,
17,bench-000017,0.055,1,
18,bench-000018,0.0605,1,
19,bench-000019,0.0564,1,
20,bench-000020,0.057,1,
21,bench-000021,0.0581,1,
22,bench-000022,0.0543,1,
23,bench-000023,0.0583,1,
24,bench-000024,0.058,1,
25,bench-000025,0.1235,1,
26,bench-000026,0.068,1,
27,bench-000027,0.0593,1,
28,bench-000028,0.0582,1,
29,bench-000029,0.0603,1,
