iter,voter_id,rtt_ms,ok,err
0,bench-000000,0.0763,1,
1,bench-000001,0.0675,1,
2,bench-000002,0.0588,1,
3,bench-000003,0.06,1,
4,bench-000004,0.0657,1,
5,bench-000005,0.065,1,
6,bench-000006,0.0643,1,
7,bench-000007,0.0637,1,
8,bench-000008,0.0649,1,
9,bench-000009,0.0595,1,
10,bench-000010,0.1423,1,
11,bench-000011,0.064,1,
12,bench-000012,0.0608,1,
13,bench-000013,0.0666,1,
14,bench-000014,0.066,1,
15,bench-000015,0.0692,1,
16,bench-000016,0.0598,1,
17,bench-000017,0.0597,1,
18,bench-000018,0.058,1,
19,bench-000019,0.1093,1,
20,bench-000020,0.1246,1,
21,bench-000021,0.0757,1,
22,bench-000022,0.0937,1,
23,bench-000023,0.0653,1,
24,bench-000024,0.0691,1,
25,bench-000025,0.0665,1,
26,bench-000026,0.0587,1,
27,bench-000027,0.0642,1,
28,bench-000028,0.0614,1,
29,bench-000029,0.0571,1,
30,bench-000030,0.0613,1,
31,bench-000031,0.0664,1,
32,bench-000032,0.0636,1,
33,bench-000033,0.06,1,
34,bench-000034,0.0588,1,
35,bench-000035,0.0547,1,
36,bench-000036,0.0567,1,
37,bench-000037,0.059,1,
38,bench-000038,0.0982,1,
39,bench-000039,0.057,1,
40,bench-000040,0.0556,1,
41,bench-000041,0.0584,1,
42,bench-000042,0.0675,1,
43,bench-000043,0.0635,1,
44,bench-000044,0.0631,1,
45,bench-000045,0.0554,1,
46,bench-000046,0.0556,1,
47,bench-000047,0.0585,1,
48,bench-000048,0.0574,1,
49,bench-000049,0.1049,1,
50,bench-000050,0.0607,1,
51,bench-000051,0.061,1,
52,bench-000052,0.0601,1,
53,bench-000053,0.0881,1,
54,bench-000054,0.0595,1,
55,bench-000055,0.0558,1,
56,bench-000056,0.0546,1,
57,bench-000057,0.0545,1,
58,bench-000058,0.0553,1,
59,bench-000059,0.0554,1,
60,bench-000060,0.0545,1,
61,bench-000061,0.0583,1,
62,bench-000062,0.0538,1,
63,bench-000063,0.0518,1,
64,bench-000064,0.0629,1,
65,bench-000065,0.0579,1,
66,bench-000066,0.0542,1,
67,bench-000067,0.0609,1,
68,bench-000068,0.053,1,
69,bench-000069,0.0555,1,
70,bench-000070,0.0885,1,
71,bench-000071,0.0595,1,
72,bench-000072,0.0537,1,
73,bench-000073,0.0527,1,
74,bench-000074,0.0639,1,
75,bench-000075,0.0654,1,
76,bench-000076,0.0542,1,
77,bench-000077,0.0539,1,
78,bench-000078,0.0593,1,
79,bench-000079,0.0542,1,
80,bench-000080,0.062,1,
81,bench-000081,0.0534,1,
82,bench-000082,0.0578,1,
83,bench-000083,0.0535,1,
84,bench-000084,0.0571,1,
85,bench-000085,0.057,1,
86,bench-000086,0.0532,1,
87,bench-000087,0.118,1,
88,bench-000088,0.0617,1,
89,bench-000089,0.0565,1,
90,bench-000090,0.0533,1,
91,bench-000091,0.0561,1,
92,bench-000092,0.0539,1,
93,bench-000093,0.0598,1,
94,bench-000094,0.0583,1,
95,bench-000095,0.0531,1,
96,bench-000096,0.0541,1,
97,bench-000097,0.0624,1,
98,bench-000098,0.0541,1,
99,bench-000099,0.053,1,
