client,iter,voter_id,rtt_ms,ok,err
0,0,c0-000000,0.0423,1,
0,1,c0-000001,0.0441,1,
0,2,c0-000002,0.0391,1,
0,3,c0-000003,0.0446,1,
0,4,c0-000004,0.0362,1,
0,5,c0-000005,0.0408,1,
0,6,c0-000006,0.0746,1,
0,7,c0-000007,0.0545,1,
0,8,c0-000008,0.0738,1,
0,9,c0-000009,0.0791,1,
0,10,c0-000010,0.053,1,
0,11,c0-000011,0.0511,1,
0,12,c0-000012,0.0694,1,
0,13,c0-000013,0.0733,1,
0,14,c0-000014,0.072,1,
0,15,c0-000015,0.0593,1,
0,16,c0-000016,0.0725,1,
0,17,c0-000017,0.061,1,
0,18,c0-000018,0.0815,1,
0,19,c0-000019,0.0808,1,
