iter,voter_id,elapsed_ms,ok,err
0,fail-000000,0.078,1,
1,fail-000001,0.057,1,
2,fail-000002,0.063,1,
3,fail-000003,0.081,1,
4,fail-000004,0.054,1,
5,fail-000005,3293.386,1,
6,fail-000006,0.608,1,
7,fail-000007,0.321,1,
8,fail-000008,0.381,1,
9,fail-000009,0.235,1,
10,fail-000010,0.252,1,
11,fail-000011,0.34,1,
12,fail-000012,0.239,1,
13,fail-000013,0.256,1,
14,fail-000014,0.259,1,
15,fail-000015,0.346,1,
16,fail-000016,0.24,1,
17,fail-000017,0.275,1,
18,fail-000018,0.544,1,
19,fail-000019,0.273,1,
