iter,voter_id,rtt_ms,ok,err
0,bench-000000,202.8484,1,
1,bench-000001,206.9372,1,
2,bench-000002,201.37,1,
3,bench-000003,206.877,1,
4,bench-000004,206.3732,1,
5,bench-000005,203.8261,1,
6,bench-000006,208.0266,1,
7,bench-000007,207.2322,1,
8,bench-000008,207.7188,1,
9,bench-000009,204.5407,1,
10,bench-000010,205.0867,1,
11,bench-000011,207.2556,1,
12,bench-000012,208.8877,1,
13,bench-000013,204.9261,1,
14,bench-000014,203.2649,1,
15,bench-000015,201.5786,1,
16,bench-000016,202.6273,1,
17,bench-000017,206.9782,1,
18,bench-000018,206.1426,1,
19,bench-000019,208.6059,1,
20,bench-000020,208.652,1,
21,bench-000021,205.4888,1,
22,bench-000022,206.6387,1,
23,bench-000023,204.7677,1,
24,bench-000024,206.2538,1,
25,bench-000025,201.8142,1,
26,bench-000026,203.0991,1,
27,bench-000027,205.1249,1,
28,bench-000028,205.6988,1,
29,bench-000029,205.4654,1,
