iter,voter_id,rtt_ms,ok,err
0,bench-000000,0.2092,1,
1,bench-000001,0.1372,1,
2,bench-000002,0.1185,1,
3,bench-000003,0.118,1,
4,bench-000004,0.1178,1,
5,bench-000005,0.1126,1,
6,bench-000006,0.2154,1,
7,bench-000007,0.1174,1,
8,bench-000008,0.1095,1,
9,bench-000009,211.6882,1,
10,bench-000010,0.1271,1,
11,bench-000011,0.0519,1,
12,bench-000012,0.0501,1,
13,bench-000013,0.0477,1,
14,bench-000014,0.0709,1,
15,bench-000015,0.1354,1,
16,bench-000016,207.5468,1,
17,bench-000017,0.1003,1,
18,bench-000018,0.0653,1,
19,bench-000019,0.0645,1,
20,bench-000020,0.0675,1,
21,bench-000021,0.1517,1,
22,bench-000022,0.3528,1,
23,bench-000023,0.1348,1,
24,bench-000024,217.0413,1,
25,bench-000025,650.3205,1,
26,bench-000026,0.6929,1,
27,bench-000027,0.4403,1,
28,bench-000028,0.4392,1,
29,bench-000029,0.3547,1,
30,bench-000030,0.4245,1,
31,bench-000031,0.3917,1,
32,bench-000032,210.8497,1,
33,bench-000033,0.5008,1,
34,bench-000034,0.4296,1,
35,bench-000035,0.323,1,
36,bench-000036,0.4011,1,
37,bench-000037,0.3821,1,
38,bench-000038,0.3333,1,
39,bench-000039,0.2322,1,
40,bench-000040,0.1837,1,
41,bench-000041,222.1534,1,
42,bench-000042,0.5634,1,
43,bench-000043,0.3547,1,
44,bench-000044,0.2767,1,
45,bench-000045,0.2659,1,
46,bench-000046,0.2705,1,
47,bench-000047,205.8906,1,
48,bench-000048,0.4043,1,
49,bench-000049,206.9257,1,
50,bench-000050,0.3247,1,
51,bench-000051,0.2645,1,
52,bench-000052,0.4378,1,
53,bench-000053,261.9012,1,
54,bench-000054,279.7959,1,
55,bench-000055,0.5544,1,
56,bench-000056,0.2854,1,
57,bench-000057,0.3178,1,
58,bench-000058,207.2504,1,
59,bench-000059,0.3332,1,
60,bench-000060,0.3948,1,
61,bench-000061,0.3325,1,
62,bench-000062,0.2621,1,
63,bench-000063,0.2439,1,
64,bench-000064,0.3382,1,
65,bench-000065,0.2543,1,
66,bench-000066,0.2594,1,
67,bench-000067,0.358,1,
68,bench-000068,0.2407,1,
69,bench-000069,0.1699,1,
70,bench-000070,0.0916,1,
71,bench-000071,0.0958,1,
72,bench-000072,0.0868,1,
73,bench-000073,0.096,1,
74,bench-000074,0.1301,1,
75,bench-000075,0.0938,1,
76,bench-000076,0.0881,1,
77,bench-000077,0.0937,1,
78,bench-000078,0.0882,1,
79,bench-000079,0.0857,1,
80,bench-000080,0.0873,1,
81,bench-000081,0.0915,1,
82,bench-000082,0.0886,1,
83,bench-000083,0.0893,1,
84,bench-000084,204.3013,1,
85,bench-000085,0.3479,1,
86,bench-000086,0.2687,1,
87,bench-000087,0.3577,1,
88,bench-000088,0.234,1,
89,bench-000089,0.1603,1,
90,bench-000090,0.2444,1,
91,bench-000091,0.2278,1,
92,bench-000092,0.1481,1,
93,bench-000093,0.1401,1,
94,bench-000094,0.1438,1,
95,bench-000095,0.1499,1,
96,bench-000096,0.1491,1,
97,bench-000097,0.2056,1,
98,bench-000098,0.2013,1,
99,bench-000099,0.1936,1,
